abort_rate,iteration,throughput,total_transactions,avg_latency,p50_latency,p95_latency,p99_latency
0.05,0,320.53,93.0,0.136535334,0.061412917,0.259354197,0.279786241
0.05,1,698.75,92.0,0.058739828,0.052570829000000006,0.085782988,0.10470642499999999
0.15,0,197.53,76.0,0.18713022799999998,0.07787377100000001,0.364546009,0.384058089
0.15,1,500.64,60.0,0.058353558,0.057161755999999994,0.095740025,0.099451528
0.3,0,97.41,43.0,0.23862651199999999,0.363520978,0.41605292,0.429991671
0.3,1,329.2,42.0,0.06448001499999999,0.057907940000000005,0.10584819000000001,0.115009851
